XQ_0,XQ_1,U_0,U_1,STRAIN_0,STRAIN_1,STRAIN_2,STRAIN_3,STRESS_0,STRESS_1,STRESS_2,STRESS_3,
0.816847573,0.0915762135,-0.004084237863523552,0.00023587812553956393,-0.004999999999663412,0.0025757575758887834,0.0,-8.963988405719103e-13,-395748530.03334105,0.032818403865864536,-134554500.2001777,-0.04682680510450278,
0.0915762135,0.816847573,-0.0004578810674796097,0.002104001324170444,-0.005000000000467947,0.0025757575759093963,0.0,-2.702820606215184e-13,-395748530.1188794,-0.009615226877615205,-134554500.24368817,-0.014119212122019617,
0.0915762135,0.0915762135,-0.0004578810688895186,0.00023587812583466015,-0.004999999999758469,0.0025757575752697152,0.0,5.711568371036257e-13,-395748530.07794315,-0.039157425295966046,-134554500.2398142,0.029836551191980448,
0.1081030182,0.4459484909,-0.0005405150916353211,0.00114865520379557,-0.005000000000102959,0.0025757575755963745,0.0,1.265836394037656e-13,-395748530.0969288,-0.02308295232508364,-134554500.240804,0.006612578177808651,
0.4459484909,0.1081030182,-0.0022297424544570612,0.0002784471680909895,-0.0049999999997281915,0.0025757575755867724,0.0,-1.6507357546852175e-13,-395748530.0570831,-0.003316361352214452,-134554500.2205358,-0.008623246479698898,
0.4459484909,0.4459484909,-0.0022297424538002984,0.0011486552036581083,-0.005000000000058681,0.0025757575758847493,0.0,-5.570329354026571e-13,-395748530.076152,0.010445036780174902,-134554500.22234038,-0.029098735431482087,
0.9084237865,0.9084237865,-0.004542118931097804,0.002339879450032971,-0.004999999999909719,0.0025757575756386163,0.0,6.110363950928566e-13,-395748530.0737639,-0.007806071639048085,-134554500.2277338,0.03191981168395519,
0.183152427,0.9084237865,-0.0009157621364333142,0.002339879450142017,-0.004999999999552521,0.002575757575644124,0.0,-8.556532218872981e-13,-395748530.0349729,0.012613115262598193,-134554500.20760232,-0.04469830263590363,
0.9084237865,0.183152427,-0.0045421189324759415,0.00047175625153625893,-0.005000000000647933,0.0025757575761950883,0.0,-1.8781504129705695e-13,-395748530.12241477,0.011175906455632033,-134554500.23782122,-0.009811233500592527,
0.5540515091,0.5540515091,-0.0027702575461566194,0.001427102372039987,-0.005000000000095888,0.002575757575913204,0.0,-4.959227473122496e-13,-395748530.0785814,0.011445726669631087,-134554500.22282612,-0.025906412173027964,
0.8918969818,0.5540515091,-0.004459484908335784,0.001427102371989191,-0.005000000000262277,0.0025757575759106375,0.0,1.8729039586579121e-13,-395748530.09665114,0.0019339818907637477,-134554500.23220384,0.00978382664970551,
0.5540515091,0.8918969818,-0.0027702575455146564,0.002297310407682069,-0.004999999999752014,0.0025757575756539873,0.0,-1.238013597887333e-13,-395748530.05591893,0.002603421545637543,-134554500.21812728,-0.006467235212844277,
