XQ_0,XQ_1,U_0,U_1,STRAIN_0,STRAIN_1,STRAIN_2,STRAIN_3,STRESS_0,STRESS_1,STRESS_2,STRESS_3,
0.816847573,0.0915762135,0.005717933008934837,-0.00033022937575707717,0.006999999999538001,-0.003606060606244102,0.0,1.2618933675767607e-12,554047942.0476819,-0.0454130060466057,188376300.28077143,0.06591980278386064,
0.0915762135,0.816847573,0.0006410334944695655,-0.002945601853838969,0.007000000000655052,-0.003606060606263323,0.0,3.84898710126258e-13,554047942.1669691,0.014516604991210756,188376300.3417051,0.020106649036446312,
0.0915762135,0.0915762135,0.0006410334964421872,-0.0003302293761698209,0.006999999999652692,-0.0036060606053874055,0.0,-8.130896129998622e-13,554047942.1075889,0.05325545410144767,188376300.33468708,-0.04247483052984354,
0.1081030182,0.4459484909,0.0007567211282870356,-0.0016081172853146398,0.007000000000139839,-0.003606060605834907,0.0,-1.8046154848239127e-13,554047942.1352373,0.03207899900046582,188376300.33688757,-0.00942709581624432,
0.4459484909,0.1081030182,0.0031216394362392195,-0.0003898260353288514,0.006999999999619495,-0.003606060605825953,0.0,2.2805856595559115e-13,554047942.0796711,0.004162644057039583,188376300.30850348,0.011913507176784613,
0.4459484909,0.4459484909,0.003121639435320334,-0.0016081172851223756,0.0070000000000864145,-0.003606060606233973,0.0,7.861046882884359e-13,554047942.1073316,-0.013882666336632507,188376300.31177264,0.041065170283724264,
0.9084237865,0.9084237865,0.006358966503539917,-0.003275831230050768,0.00699999999984934,-0.0036060606058642168,0.0,-8.515514682283509e-13,554047942.1023115,0.012797324218722188,188376300.319137,-0.04448403192237654,
0.183152427,0.9084237865,0.0012820669910078093,-0.003275831230202374,0.006999999999397859,-0.0036060606059017918,0.0,1.1767930380157665e-12,554047942.0515822,-0.016309979826460617,188376300.29199257,0.0614742631799281,
0.9084237865,0.183152427,0.006358966505470512,-0.0006604587521527048,0.007000000000907053,-0.0036060606067028367,0.0,2.801404941354946e-13,554047942.1697257,-0.018850731565175544,188376300.33129746,0.014634204917525836,
0.5540515091,0.5540515091,0.003878360564621957,-0.00199794332085877,0.007000000000145547,-0.003606060606292332,0.0,6.924660497786839e-13,554047942.1104636,-0.01688830998648614,188376300.3118156,0.036173599615304385,
0.8918969818,0.5540515091,0.006243278871673636,-0.001997943320788149,0.007000000000355865,-0.0036060606062748284,0.0,-2.5237711226422377e-13,554047942.1340952,-0.0033290385934329715,188376300.3244605,-0.01318387899887736,
0.5540515091,0.8918969818,0.0038783605637226475,-0.0032162345707589276,0.006999999999652848,-0.0036060606059016855,0.0,1.6530093266409196e-13,554047942.0790613,-0.00214570362009698,188376300.3061513,0.008635123348124206,
