XQ_0,XQ_1,U_0,U_1,STRAIN_0,STRAIN_1,STRAIN_2,STRAIN_3,STRESS_0,STRESS_1,STRESS_2,STRESS_3,
0.816847573,0.0915762135,0.004084237863545921,-0.0002358781255602649,0.004999999999775544,-0.0025757575758888463,0.0,9.803833092569825e-13,395748530.04541904,-0.026601355255217802,134554500.206398,0.05121405346864834,
0.0915762135,0.816847573,0.0004578810674568617,-0.0021040013241751046,0.005000000000467983,-0.0025757575757907013,0.0,3.4956152555887243e-13,395748530.1254715,0.02240583908209379,134554500.2502783,0.018260676708299305,
0.0915762135,0.0915762135,0.0004578810688512628,-0.0002358781258502666,0.004999999999646351,-0.0025757575753884822,0.0,-7.343982193208642e-13,395748530.05927163,0.020138465413097856,134554500.22699943,-0.03836408608392575,
0.1081030182,0.4459484909,0.000540515091606024,-0.0011486552038059445,0.00500000000005075,-0.0025757575755964114,0.0,-1.6569298016966272e-13,395748530.09130126,0.020180894696109394,134554500.23790392,-0.008655603441698799,
0.4459484909,0.1081030182,0.00222974245444878,-0.00027844716810883574,0.0049999999997282,-0.0025757575756421287,0.0,1.281552988730006e-13,395748530.0540114,-0.002647342508381863,134554500.2174638,0.006694679791873165,
0.4459484909,0.4459484909,0.002229742453799241,-0.001148655203670856,0.005000000000110934,-0.002575757575829491,0.0,6.330851641533908e-13,395748530.0848494,-0.0015907829746039234,134554500.22830793,0.03307161305278907,
0.9084237865,0.9084237865,0.0045421189311343375,-0.002339879450090094,0.0049999999996149375,-0.002575757575277021,0.0,-5.637530373081567e-13,395748530.06207323,0.03040369574563184,134554500.23144215,-0.029449785531023114,
0.183152427,0.9084237865,0.0009157621364477432,-0.0023398794501855147,0.004999999999847301,-0.002575757575644126,0.0,5.999801350187184e-13,395748530.0667328,0.0037477910582893476,134554500.2239634,0.03134224585918678,
0.9084237865,0.183152427,0.004542118932526607,-0.0004717562515603355,0.005000000000647904,-0.0025757575765566897,0.0,3.9622623758395203e-13,395748530.1023411,-0.05013766402433257,134554500.21774918,0.02069838554543033,
0.5540515091,0.5540515091,0.0027702575461892574,-0.0014271023720743056,0.005000000000233186,-0.0025757575760816474,0.0,4.73907371678628e-13,395748530.0840256,-0.021973213595966937,134554500.22109783,0.02475635523694325,
0.8918969818,0.5540515091,0.004459484908378718,-0.0014271023720298568,0.005000000000124949,-0.0025757575759106414,0.0,-6.81837399041374e-14,395748530.081855,-0.00955637408916855,134554500.22458154,-0.0035618371591713566,
0.5540515091,0.8918969818,0.002770257545540711,-0.002297310407731782,0.004999999999752014,-0.002575757575485551,0.0,2.6730570881761118e-14,395748530.06526816,0.015544545378806658,134554500.22747633,0.0013963731057636405,
