XQ_0,XQ_1,U_0,U_1,STRAIN_0,STRAIN_1,STRAIN_2,STRAIN_3,STRESS_0,STRESS_1,STRESS_2,STRESS_3,
0.816847573,0.0915762135,0.03267390290828326,-0.0018870250044040703,0.03999999999778208,-0.02060606060710926,0.0,7.526881895536519e-12,3165988240.317938,-0.23608755363439785,1076436001.627829,0.39319532290116144,
0.0915762135,0.816847573,0.003663048539740445,-0.01683201059338298,0.040000000003743236,-0.02060606060677203,0.0,2.497863027528524e-12,3165988240.978925,0.1311128158471102,1076436001.977413,0.13048538203507215,
0.0915762135,0.0915762135,0.0036630485509542127,-0.001887025006743439,0.03999999999759333,-0.020606060602660743,0.0,-5.260708535459457e-12,3165988240.544511,0.23273074121434073,1076436001.864262,-0.27481313244937466,
0.1081030182,0.4459484909,0.004324120732958487,-0.009189241630408372,0.04000000000060251,-0.020606060604770916,0.0,-1.1784254128066607e-12,3165988240.751605,0.17239620160916694,1076436001.9141605,-0.06155953648990019,
0.4459484909,0.1081030182,0.017837939635621507,-0.0022275773448034654,0.03999999999782569,-0.020606060604928002,0.0,1.1641755268132492e-12,3165988240.4437046,0.0013474581680204746,1076436001.7513177,0.060815139460393616,
0.4459484909,0.4459484909,0.017837939630397915,-0.00918924162931865,0.04000000000069044,-0.020606060606843123,0.0,4.778281936790307e-12,3165988240.646064,-0.0459882572482457,1076436001.8040257,0.24961174296665783,
0.9084237865,0.9084237865,0.03633695144893707,-0.018719035600505154,0.03999999999802947,-0.02060606060357719,0.0,-4.688156113319408e-12,3165988240.5406356,0.15819784604394652,1076436001.8376033,-0.24490367756146164,
0.183152427,0.9084237865,0.007326097091527495,-0.01871903560132007,0.039999999997668796,-0.020606060605153076,0.0,5.762015864441139e-12,3165988240.414308,-0.031610766072092004,1076436001.730117,0.3010008287394625,
0.9084237865,0.183152427,0.0363369514600222,-0.0037740500123917674,0.04000000000518309,-0.020606060611091728,0.0,2.3854668240730348e-12,3165988240.8942995,-0.254385031622536,1076436001.817571,0.12461393857097942,
0.5540515091,0.5540515091,0.022162060369391164,-0.011416818976464953,0.04000000000134857,-0.020606060608018846,0.0,3.87408161106606e-12,3165988240.651715,-0.13613509306773938,1076436001.7752972,0.20237739759300316,
0.8918969818,0.5540515091,0.035675879266868105,-0.01141681897608535,0.040000000001516565,-0.020606060607284756,0.0,-9.93802262705401e-13,3165988240.71056,-0.0477180209638063,1076436001.8253663,-0.05191504357416274,
0.5540515091,0.8918969818,0.022162060364227493,-0.018378483261666682,0.03999999999801627,-0.02060606060451841,0.0,5.790524310045342e-13,3165988240.486972,0.056055686693508064,1076436001.7846293,0.0302490075897891,
