XQ_0,XQ_1,U_0,U_1,STRAIN_0,STRAIN_1,STRAIN_2,STRAIN_3,STRESS_0,STRESS_1,STRESS_2,STRESS_3,
0.816847573,0.0915762135,-0.008168475727049743,0.00047175625108151993,-0.009999999999339893,0.0051515151517773135,0.0,-1.8026231549117533e-12,-791497060.068104,0.06488439143953426,-269109000.4010947,-0.09416688122673338,
0.0915762135,0.816847573,-0.0009157621349565477,0.004208002648341385,-0.0100000000009358,0.005151515151804875,0.0,-5.497755029004736e-13,-791497060.2385213,-0.020724906878611577,-269109000.48814374,-0.02871961582315907,
0.0915762135,0.0915762135,-0.0009157621377745908,0.00047175625167115623,-0.009999999999503949,0.005151515150553317,0.0,1.1613921629960444e-12,-791497060.1537164,-0.0760979514017148,-269109000.4781369,0.06066973985800232,
0.1081030182,0.4459484909,-0.0010810301832672245,0.0022973104075923343,-0.010000000000199826,0.005151515151192729,0.0,2.5776256129539377e-13,-791497060.193202,-0.045829717993386705,-269109000.4812708,0.01346520842587878,
0.4459484909,0.1081030182,-0.004459484908913179,0.0005568943361840561,-0.009999999999456421,0.005151515151179889,0.0,-3.2583614625880664e-13,-791497060.1138184,-0.005951446527197881,-269109000.44072175,-0.017021291222474973,
0.4459484909,0.4459484909,-0.00445948490760048,0.0022973104073176704,-0.010000000000123407,0.005151515151762891,0.0,-1.1229311751292936e-12,-791497060.1533223,0.019842521291689962,-269109000.44538313,-0.05866058377541086,
0.9084237865,0.9084237865,-0.009084237862199848,0.00467975890007248,-0.00999999999978507,0.005151515151234964,0.0,1.216547695914727e-12,-791497060.1461709,-0.01825863911603078,-269109000.45590603,0.06355099904032156,
0.183152427,0.9084237865,-0.0018315242728682891,0.004679758900289069,-0.009999999999139494,0.005151515151288279,0.0,-1.6813859332609482e-12,-791497060.0736557,0.02331747321339566,-269109000.41711503,-0.08783359352855699,
0.9084237865,0.183152427,-0.009084237864957824,0.0009435125030752731,-0.010000000001295787,0.005151515152432273,0.0,-3.9999384013333916e-13,-791497060.2424842,0.02689202255659119,-269109000.47330135,-0.020895200603980403,
0.5540515091,0.5540515091,-0.00554051509231705,0.0028542047440839294,-0.010000000000207784,0.005151515151846029,0.0,-9.892590219218178e-13,-791497060.1577988,0.024116845652440436,-269109000.44545186,-0.051677710100393466,
0.8918969818,0.5540515091,-0.00891896981667658,0.002854204743983038,-0.010000000000508508,0.005151515151821192,0.0,3.606579011133926e-13,-791497060.1915781,0.004749427242553529,-269109000.4635218,0.01884033811786379,
0.5540515091,0.8918969818,-0.00554051509103233,0.0045946208153698565,-0.009999999999504067,0.005151515151288297,0.0,-2.362407144906875e-13,-791497060.1129346,0.0030843310456797643,-269109000.4373491,-0.012340932846528452,
